id,created_at,name,url,source,file_url_1,file_url_2,file_url_3,file_url_4,file_url_5
697d90131a92c9247aad59c8,2026-01-31T05:16:03.649Z,AI CLASS,,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697d90131a92c9247aad59c8_e570bc03-e292-4b65-a817-a1dc9acb4f86_체크리스트양식(공급자용).pdf,,,,
697d6da9f30497644c573ee3,2026-01-31T02:49:13.662Z,핑퐁로봇 스크래치 3.0 (PC용),,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697d6da9f30497644c573ee3_df19eac8-6ff9-49e2-93a8-533056e5c472_소프트웨어_핑퐁스크래치(PC용).pdf,,,,
697d6d60f30497644c573ee1,2026-01-31T02:48:00.143Z,핑퐁로봇 Abled pingpong 앱,,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697d6d60f30497644c573ee1_f728261c-811e-4841-9ff6-1a720156714d_소프트웨어_핑퐁앱(A).pdf,,,,
697d6d2cf30497644c573edd,2026-01-31T02:47:08.567Z,핑퐁로봇 그룹위저드앱,,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697d6d2cf30497644c573edd_0d94f236-8ef6-498e-845c-0e749f84ee76_소프트웨어_핑퐁앱(G).pdf,,,,
697d6c39f30497644c573ed9,2026-01-31T02:43:05.648Z,핑퐁로봇 M코딩앱,,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697d6c39f30497644c573ed9_a9ccadf7-06e4-4dc5-9c26-7a6e0067f403_소프트웨어_핑퐁앱(M).pdf,,,,
697d6bf4f30497644c573ed7,2026-01-31T02:41:56.984Z,핑퐁로봇 스크래치앱,,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697d6bf4f30497644c573ed7_d596499e-654c-4eee-85a2-8f3c1c9fe8da_소프트웨어_핑퐁앱(S).pdf,,,,
697d6ba0f30497644c573ed4,2026-01-31T02:40:32.379Z,핑퐁로봇 V코딩앱,,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697d6ba0f30497644c573ed4_63185443-2d10-471b-b307-539f55e9a490_소프트웨어_핑퐁앱(V).pdf,,,,
697d6b63f30497644c573ed2,2026-01-31T02:39:31.991Z,핑퐁로봇 앱,,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697d6b63f30497644c573ed2_55fe4007-592a-4349-bfcf-9991ec7987a2_소프트웨어_핑퐁앱.pdf,,,,
697c9e810c9d51db806f2d0b,2026-01-30T12:05:21.472Z,클래스팅 클래스,,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697c9e810c9d51db806f2d0b_8af5a38e-5878-4fb9-81ca-8e6f55a3a549_클래스팅_AI_선정기준_체크리스트_2602.pdf,https://kr.object.ncloudstorage.com/moe/self-inspection/697c9e810c9d51db806f2d0b_b790218d-820e-44cb-8e22-58b90a0a42b9_체크리스트(클래스팅 클래스_CT)_20260130.hwp,,,
697c9985a6bcbb5d4c473759,2026-01-30T11:44:05.106Z,EDUFIT,https://www.edufit.app,본문,https://kr.object.ncloudstorage.com/moe/self-inspection/697c9985a6bcbb5d4c473759_8f554009-be1e-480a-b32d-3f27e45c2c05_체크리스트(에듀핏_주식회사 핏테크)_2026-01-30.pdf,https://kr.object.ncloudstorage.com/moe/self-inspection/697c9985a6bcbb5d4c473759_f0539f38-f123-4adf-8c00-6d335dfc6c3d_개인정보 처리방침(에듀핏)_2026-01-30.pdf,,,
697c715f92f23e039ba7789a,2026-01-30T08:52:47.911Z,이름없음,,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697c715f92f23e039ba7789a_5383ca56-e0bb-49d4-b76c-cbcbd5f0d632_별첨 소프트웨어 선정기준 eRS 리딩스타 체크리스트 증빙자료-20260130.pdf,https://kr.object.ncloudstorage.com/moe/self-inspection/697c715f92f23e039ba7789a_c1a95a48-1ce8-4811-9e44-bd55905d8d3b_체크리스트(eRS_리딩스타)_20260130.hwp,,,
697c709725d2c76d9f3c36f6,2026-01-30T08:49:27.719Z,RSPT,,실패,https://kr.object.ncloudstorage.com/moe/self-inspection/697c709725d2c76d9f3c36f6_47fb085e-ae63-4799-9980-901c9d66f5b5_별첨 소프트웨어 선정기준 RSTP 리딩스타 체크리스트 증빙자료-20260130.pdf,https://kr.object.ncloudstorage.com/moe/self-inspection/697c709725d2c76d9f3c36f6_89fd33dc-0909-49b6-84e9-cef172d3d444_체크리스트(RSPT_리딩스타)_20260130.hwp,,,
